iter	Passed	Remaining
400	18056	26972
401	18097	26921
402	18139	26872
403	18183	26825
404	18226	26777
405	18268	26727
406	18308	26675
407	18350	26626
408	18393	26578
409	18435	26529
410	18474	26475
411	18517	26427
412	18559	26378
413	18604	26333
414	18643	26281
415	18686	26232
416	18726	26181
417	18770	26135
418	18810	26083
419	18852	26034
420	18895	25986
421	18937	25938
422	18977	25886
423	19018	25836
424	19063	25791
425	19107	25745
426	19149	25697
427	19196	25654
428	19239	25607
429	19285	25564
430	19327	25516
431	19369	25467
432	19411	25418
433	19453	25370
434	19493	25318
435	19532	25266
436	19577	25222
437	19621	25176
438	19664	25129
439	19706	25081
440	19746	25030
441	19789	24982
442	19834	24938
443	19880	24895
444	19924	24849
445	19967	24802
446	20014	24760
447	20055	24711
448	20100	24666
449	20142	24618
450	20183	24569
451	20224	24519
452	20268	24474
453	20313	24429
454	20378	24408
455	20432	24375
456	20476	24330
457	20522	24285
458	20566	24240
459	20610	24194
460	20651	24146
461	20694	24099
462	20735	24049
463	20776	24000
464	20819	23953
465	20862	23906
466	20903	23857
467	20945	23810
468	20990	23765
469	21033	23718
470	21074	23669
471	21120	23625
472	21161	23577
473	21201	23527
474	21248	23485
475	21290	23436
476	21331	23389
477	21375	23343
478	21421	23299
479	21462	23250
480	21508	23207
481	21551	23160
482	21597	23117
483	21639	23070
484	21682	23023
485	21723	22974
486	21766	22928
487	21809	22882
488	21853	22836
489	21891	22785
490	21933	22737
491	21974	22689
492	22015	22640
493	22061	22597
494	22103	22549
495	22147	22504
496	22190	22458
497	22236	22414
498	22277	22366
499	22319	22319
500	22356	22267
501	22401	22222
502	22440	22173
503	22481	22124
504	22526	22080
505	22567	22031
506	22610	21986
507	22652	21938
508	22695	21893
509	22738	21846
510	22780	21799
511	22822	21753
512	22865	21706
513	22908	21660
514	22953	21616
515	22996	21570
516	23040	21525
517	23080	21476
518	23123	21430
519	23166	21384
520	23208	21337
521	23254	21294
522	23296	21247
523	23337	21199
524	23378	21152
525	23423	21107
526	23466	21062
527	23508	21015
528	23553	20970
529	23596	20925
530	23641	20880
531	23682	20833
532	23727	20789
533	23769	20742
534	23810	20695
535	23853	20649
536	23897	20604
537	23940	20558
538	23983	20512
539	24022	20463
540	24066	20418
541	24108	20372
542	24147	20322
543	24193	20279
544	24236	20234
545	24277	20187
546	24319	20140
547	24362	20094
548	24403	20047
549	24445	20001
550	24488	19955
551	24532	19910
552	24570	19860
553	24611	19813
554	24654	19768
555	24696	19721
556	24739	19676
557	24784	19632
558	24827	19586
559	24869	19540
560	24916	19497
561	24992	19478
562	25033	19431
563	25076	19385
564	25119	19339
565	25163	19295
566	25208	19250
567	25250	19204
568	25295	19160
569	25336	19113
570	25379	19068
571	25428	19026
572	25472	18981
573	25517	18937
574	25560	18892
575	25604	18847
576	25647	18801
577	25688	18755
578	25732	18710
579	25773	18663
580	25817	18619
581	25860	18573
582	25905	18529
583	25944	18480
584	25989	18436
585	26034	18392
586	26076	18346
587	26116	18299
588	26160	18254
589	26262	18249
590	26304	18204
591	26348	18159
592	26392	18114
593	26434	18068
594	26477	18022
595	26521	17977
596	26566	17933
597	26609	17887
598	26648	17840
599	26693	17795
600	26734	17748
601	26774	17701
602	26812	17652
603	26853	17606
